iter	Passed	Remaining
0	152	152669
1	153	76653
2	154	51279
3	154	38553
4	155	30939
5	156	25893
6	156	22254
7	157	19522
8	158	17406
9	158	15709
10	159	14329
11	160	13195
12	161	12253
13	162	11442
14	163	10763
15	164	10109
16	164	9531
17	165	9033
18	166	8600
19	167	8197
20	168	7842
21	169	7517
22	169	7221
23	170	6943
24	171	6685
25	172	6447
26	172	6226
27	173	6021
28	174	5830
29	174	5647
30	175	5479
31	175	5318
32	176	5167
33	176	5026
34	177	4893
35	177	4764
36	178	4644
37	178	4529
38	179	4420
39	179	4317
40	180	4218
41	180	4125
42	181	4035
43	181	3949
44	182	3867
45	182	3788
46	183	3713
47	183	3640
48	184	3571
49	184	3506
50	185	3442
51	185	3382
52	185	3323
53	186	3266
54	186	3211
55	187	3158
56	187	3107
57	188	3058
58	188	3010
59	189	2964
60	189	2919
61	190	2875
62	190	2834
63	190	2793
64	191	2754
65	191	2715
66	192	2678
67	192	2643
68	193	2608
69	193	2574
70	194	2541
71	194	2509
72	195	2478
73	195	2447
74	196	2418
75	196	2389
76	197	2361
77	197	2333
78	198	2308
79	198	2285
80	199	2261
81	199	2236
82	200	2210
83	200	2187
84	201	2164
85	201	2142
86	202	2119
87	202	2098
88	203	2078
89	203	2057
90	204	2038
91	204	2018
92	204	1999
93	205	1980
94	206	1962
95	206	1944
96	207	1927
97	207	1910
98	208	1894
99	208	1878
100	209	1862
101	209	1845
102	210	1830
103	210	1815
104	211	1801
105	211	1786
106	212	1772
107	212	1757
108	213	1744
109	213	1730
110	214	1716
111	214	1703
112	215	1690
113	215	1677
114	216	1665
115	216	1653
116	217	1640
117	217	1628
118	218	1616
119	218	1604
120	219	1592
121	219	1580
122	220	1569
123	220	1559
124	221	1548
125	221	1537
126	222	1526
127	222	1516
128	223	1506
129	223	1496
130	224	1485
131	224	1476
132	225	1466
133	225	1457
134	225	1447
135	226	1438
136	226	1429
137	227	1420
138	227	1411
139	228	1402
140	228	1394
141	229	1384
142	229	1376
143	230	1367
144	230	1359
145	231	1351
146	231	1344
147	232	1336
148	232	1328
149	233	1321
150	233	1314
151	234	1306
152	234	1299
153	235	1292
154	235	1285
155	236	1278
156	236	1271
157	237	1265
158	238	1258
159	238	1252
160	238	1245
161	239	1238
162	239	1232
163	240	1226
164	241	1219
165	241	1213
166	242	1207
167	242	1201
168	243	1195
169	243	1189
170	244	1183
171	244	1177
172	244	1170
173	245	1164
174	245	1158
